"","Id","Human.Development.Index.HDI.2014","Gini.coefficient.2005.2013","Birth.registration.funder.age.5.2005.2013","Carbon.dioxide.emissionsAverage.annual.growth","Carbon.dioxide.emissions.per.capita.2011.Tones","Change.forest.percentable.1900.to.2012","Change.mobile.usage.2009.2014","Consumer.price.index.2013","Domestic.credit.provided.by.financial.sector.2013","Domestic.food.price.level.2009.2014.index","Domestic.food.price.level.2009.2014.volitility.index","Electrification.rate.or.population","Exports.and.imports.percentage.GPD.2013","Female.Suicide.Rate.100k.people","Foreign.direct.investment.net.inflows.percentage.GDP.2013","Forest.area.percentage.of.total.land.area.2012","Fossil.fuels.percentage.of.total.2012","Fresh.water.withdrawals.2005","Gender.Inequality.Index.2014","General.government.final.consumption.expenditure...Annual.growth.2005.2013","General.government.final.consumption.expenditure...Perce.of.GDP.2005.2013","Gross.domestic.product.GDP.2013","Gross.fixed.capital.formation.of.GDP.2005.2013","Homeless.people.due.to.natural.disaster.2005.2014.per.million.people","Homicide.rate.per.100k.people.2008.2012","Infant.Mortality.2013.per.thousands","International.inbound.tourists.thausands.2013","International.student.mobility.of.total.tetiary.enrolvemnt.2013","Internet.users.percentage.of.population.2014","Intimate.or.nonintimate.partner.violence.ever.experienced.2001.2011","MaleSuicide.Rate.100k.people","Mobile.phone.subscriptions.per.100.people.2014","Natural.resource.depletion","Net.migration.rate.per.1k.people.2010.2015","Physicians.per.10k.people","Population.living.on.degraded.land.Percentage.2010","Population.with.at.least.some.secondary.education.percent.2005.2013","Primary.school.dropout.rate.2008.2014","Prison.population.per.100k.people","Private.capital.flows.percentage.GDP.2013","Public.expenditure.on.education.Percentange.GDP","Public.health.expenditure.percentage.of.GDP.2013","Pupil.teacher.ratio.primary.school.pupils.per.teacher.2008.2014","Refugees.by.country.of.origin","Remittances.inflows.percentual.GDP.2013","Renewable.sources.percentage.of.total.2012","Research.and.development.expenditure..2005.2012","Stock.of.immigrants.percentage.of.population.2013","Taxes.on.income.profit.and.capital.gain.205.2013","Total.tax.revenue.of.GDP.2005.2013","Tuberculosis.rate.per.thousands.2012","Under.five.Mortality.2013.thousands"
"1","Norway",0.94387728002259,26.83,100,0.778924806,9.192879069,11.9145673730521,5.22,104.1941748,86.956222267,1.51,11.3,100,67.03594,5.2,0.5125554,27.973433205,57.27180466,0.75,0.0674430017421527,1.815163573,21.85272015,317.4975867,22.6444755,0,2.2,2.3,4963,-3.37449,96.3,26.8,13,116.51,9.019499492,6,37.39,0.186818481,97.05961,1.51155,72,11.4674,6.552840233,9.573011,9.59063666666667,0.013,0.1544065,47.75267616,1.65474,13.77262169,31.798390749,27.288096905,0.14,2.8
"2","Australia",0.934958250222263,34.01,100,1.090351403,16.51920992,-4.56181232106,30.27,107.7894398,158.840775744,1.36,6.3,100,40.99572,5.2,3.330412,19.193731044,95.36779752,3.93,0.110130102956951,-0.017409664,17.7467415,990.7210035,28.3274072,33.40661991,1.1,3.4,6382,17.13209,84.56,39.9,16.1,131.23,3.819851398,6.5,32.73,8.98454966,94.44895,6.11862333333333,130,-6.789013,5.110410213,8.998704,12.3030066666667,0.025,0.1579534,4.632201736,2.38562,27.71179314,65.333748426,21.361425995,0.19,4
"3","Switzerland",0.929613139886712,32.35,100,-1.101253915,4.625229924,8.56741640883676,16.72,99.3172293,173.429315611,1.35,6.6,100,132.1828,5.1,-1.193327,31.612511388,51.07563775,12.3133333333333,0.0278476453019586,1.447042892,10.96350675,442.0365935,23.4173357,0,0.6,3.6,8967,12.61502,87,39,13.6,140.54,0.013972937,8,39.38,0.4567513,95.74914,6.05644,82,12.6332,5.276949883,11.46621,10.7542,0.015,0.4594014,49.65939818,2.87046,28.90699771,22.673298671,9.759124063,0.22,4.2
"4","Denmark",0.923327926047681,26.88,100,-1.767732957,7.248328717,23.0299739661291,1.83,106.0577185,199.614502386,1.31,6,100,102.8064,4.1,0.4755334,12.915390054,70.58238697,10.75,0.0484322470579875,-0.484064419,26.71585401,235.7224101,18.3244425,0,0.8,2.9,8557,8.32088,95.99,50,13.6,125.96,1.463290729,2.7,34.24,8.536134407,96.07674,1.11317,73,-0.124352,8.745690346,10.62326,12.3030066666667,0.01,0.4342917,26.76724503,2.98416,9.909512135,39.677938196,33.395651012,0.4,3.5
"5","Netherlands",0.921793511865192,28.87,100,-0.25273377,10.06448974,5.92260218995679,-4.31,107.4741544,193.011288775,1.38,5.6,100,155.5511,4.8,3.761942,10.824436536,91.44745084,11.65,0.0624059806438122,-0.251702124,26.33518498,755.2590028,18.2463744,0,0.9,3.3,12800,5.42285,93.17,39.4666666666667,11.7,116.42,0.866811752,0.6,31.49,5.352625045,89.04594,6.05644,82,7.619826,5.930980206,12.8853,11.50226,0.063,0.1834062,6.671365641,2.15676,11.72441763,23.533103608,19.724058916,0.17,4
"6","Germany",0.916079907698891,30.63,100,-0.739740093,8.917832846,3.2934473690835,-4.6,105.692141,113.521434572,1.54,5.6,100,85.31842,4.1,1.374354,31.77827509,80.187836,20.95,0.0407289546024232,0.726060184,19.26363598,3483.398236,19.7839458,0,0.8,3.2,31500,2.78761,86.19,40,14.5,120.42,0.076885776,1.3,38.06,8.085258727,96.64598,3.75764,79,6.659943,4.979529858,11.29719,11.71402,0.176,0.4233354,20.38880799,2.9191,11.90093743,16.25383828,11.518237027,0.35,3.9
"7","Ireland",0.915541561984203,32.06,100,0.591211929,7.880759326,62.7096774133141,-2.26,104.8396802,186.081408593,1.23,3.3,100,189.7978,5.2,21.52736,10.982726085,84.72883027,12.3133333333333,0.112931536945731,-0.037290291,17.4782253,206.4707637,15.1765979,0,1.2,3.2,8260,-3.8625,79.69,14.5,16.9,104.26,0.069177694,2.2,27.19,0.483991792,79.56229,6.11862333333333,88,19.25707,6.154679775,8.921805,16.06046,0.009,0.3095776,6.405793703,1.72382,15.89599092,37.823960113,22.006956424,0.39,3.8
"8","United States",0.914959353959777,41.12,100,-0.692444213,17.02021634,2.98213413024144,11.04,106.8338489,240.546463207,1,0,100,30.01294,5.2,1.75912,33.319515229,83.55005184,15.49,0.279976559589225,-1.322071182,15.19253821,16230.20875,19.3480478,14.93525005,4.7,5.9,69800,3.62564,87.36,35.6,19.4,98.41,0.958708867,3.1,24.52,1.09258942,94.98449,2.42521666666667,716,0.6691694,5.226019859,17.09764,14.42216,4.786,0.039927,16.29966924,2.79197,14.30557337,53.181714509,10.565895957,0.14,6.9
"9","Canada",0.913178984420728,33.68,100,-0.40164638,14.13581338,1.17284626455216e-08,17.63,105.4522038,173.054866602,1.25,7.1,100,61.85041,4.8,3.873133,34.104982564,73.69457159,12.3133333333333,0.129227342328793,0.579248131,21.67536679,1472.925397,23.7232617,20.64102374,1.6,4.6,16600,3.80924666666667,87.12,6.4,14.9,82.98,2.412690401,6.3,20.68,2.682220681,99.99999,4.6367,118,-2.021756,5.272459984,10.8607,11.17668,0.107,0.0656526,27.89825014,1.72797,20.70413929,51.64931625,11.531947693,0.19,5.2
"10","New Zealand",0.913497655649251,28.7633333333333,100,1.115933201,7.124050867,6.89378237191591,3.07,106.7281728,153.954466358,1.96,8.7,100,57.48594,5,-0.2743136,31.340245338,61.43322269,5.26,0.157201498071108,1.862379329,18.67254022,146.6764056,20.5684371,16.10972323,0.9,5.2,2629,14.02246,85.5,33.1,14.4,112.05,1.592807025,3.3,27.35,5.257356694,95.15481,2.48661,192,0.7918984,7.354410172,9.738794,14.58702,0.02,0.2471849,38.37153225,1.2709,25.1417685,36.311316741,29.274728302,0.08,6.3
